ROG3,region,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded
LA,Laos,7408000,126,96,5609000,4,lao,Lao,2,Buddhism,3.773751106,2.541738984,Y,ASI,Asia,2,"Asia, Southeast",35,85,LAO,7481000,178
LG,Latvia,1773000,21,4,9400,4,lvs,"Latvian, Standard",1,Christianity,60.14046536,7.362038441,N,EUR,Europe,9,"Europe, Eastern and Eurasia",68,99,LVA,1849000,4
LE,Lebanon,6630000,26,8,924000,2,arb,"Arabic, Standard",6,Islam,32.85932009,0.710899159,Y,ASI,Asia,6,"Africa, North and Middle East",87,94,LBN,6685000,21
LT,Lesotho,2107000,10,,,5,eng,English,1,Christianity,91.23658429,13.09987742,N,AFR,Africa,7,"Africa, East and Southern",28,79,LSO,2176000,
LI,Liberia,5266000,39,5,599000,5,eng,English,4,Ethnic Religions,40.02359215,11.67715487,N,AFR,Africa,8,"Africa, West and Central",51,48,LBR,5305000,12
LY,Libya,6990000,44,31,6167000,1,arb,"Arabic, Standard",6,Islam,2.477804268,0.158468472,Y,AFR,Africa,6,"Africa, North and Middle East",80,91,LBY,7041000,132
LS,Liechtenstein,38000,8,1,1000,3,deu,"German, Standard",1,Christianity,78.17798553,0.56335706,N,EUR,Europe,10,"Europe, Western",14,100,LIE,38000,1
LH,Lithuania,2656000,20,6,7500,3,lit,Lithuanian,1,Christianity,84.60282325,1.415574867,N,EUR,Europe,9,"Europe, Eastern and Eurasia",68,99,LTU,2662000,6
LU,Luxembourg,601000,20,3,2900,3,ltz,Luxembourgish,1,Christianity,80.29749236,0.994651114,N,EUR,Europe,10,"Europe, Western",91,99,LUX,642000,3
MA,Madagascar,29085000,40,11,461000,4,plt,"Malagasy, Merina",1,Christianity,49.65690306,6.096252267,N,AFR,Africa,7,"Africa, East and Southern",37,75,MDG,29178000,15
MI,Malawi,20074000,26,4,2184000,5,eng,English,1,Christianity,75.70884834,17.02567233,N,AFR,Africa,7,"Africa, East and Southern",17,62,MWI,20181000,45
MY,Malaysia,33059000,181,77,16586000,4,zlm,Malay,6,Islam,9.673239711,3.520680442,Y,ASI,Asia,2,"Asia, Southeast",76,95,MYS,33181000,381
MV,Maldives,512000,7,7,512000,1,div,Maldivian,6,Islam,0.030669364,0.01062486,Y,ASI,Asia,4,"Asia, South",40,98,MDV,541000,16
ML,Mali,21285000,73,43,19462000,1,fra,French,6,Islam,2.811735655,0.666500913,Y,AFR,Africa,8,"Africa, West and Central",42,36,MLI,21474000,397
MT,Malta,425000,10,3,2000,3,mlt,Maltese,1,Christianity,96.26113217,1.538048445,N,EUR,Europe,10,"Europe, Western",96,94,MLT,444000,3
RM,Marshall Islands,57000,6,1,400,5,eng,English,1,Christianity,95.26244402,52.91037218,N,SOP,Oceania,1,Australia and Pacific,77,98,MHL,60000,1
MB,Martinique,361000,7,,,4,fra,French,1,Christianity,94.86134484,6.903201152,N,NAR,North America,12,"America, North and Caribbean",89,87,MTQ,374000,
MR,Mauritania,4868000,18,14,4853000,1,arb,"Arabic, Standard",6,Islam,0.279914544,0.124528363,Y,AFR,Africa,8,"Africa, West and Central",54,54,MRT,4902000,104
MP,Mauritius,1243000,18,8,108000,4,eng,English,5,Hinduism,32.48507889,9.725992877,N,AFR,Africa,7,"Africa, East and Southern",41,91,MUS,1275000,8
MF,Mayotte,277000,8,6,273000,1,fra,French,6,Islam,1.626497419,0.09263042,N,AFR,Africa,7,"Africa, East and Southern",47,92,MYT,286000,9
MX,Mexico,131468000,343,3,98000,5,spa,Spanish,1,Christianity,95.30583471,10.47898677,N,NAR,North America,11,"America, Latin",80,95,MEX,131563000,3
FM,"Micronesia, Federated States",114000,25,1,800,5,eng,English,1,Christianity,95.41265745,22.76681125,N,SOP,Oceania,1,Australia and Pacific,23,89,FSM,117000,1
MD,Moldova,3939000,26,8,13000,4,ron,Romanian,1,Christianity,75.47976374,4.618147156,N,EUR,Europe,9,"Europe, Eastern and Eurasia",43,99,MDA,4013000,8
MN,Monaco,39000,14,1,700,3,fra,French,1,Christianity,82.54025132,1.269976003,N,EUR,Europe,10,"Europe, Western",100,99,MCO,40000,1
MG,Mongolia,3327000,28,22,3263000,1,khk,"Mongolian, Halh",2,Buddhism,1.762707824,0.863313622,Y,ASI,Asia,3,"Asia, Northeast",68,97,MNG,3378000,74
MJ,Montenegro,599000,16,3,55000,3,srp,Serbian,1,Christianity,74.2605054,0.264274871,N,EUR,Europe,9,"Europe, Eastern and Eurasia",67,99,MNE,628000,3
MH,Montserrat,4900,2,,,5,eng,English,1,Christianity,94.92014427,27.49856365,N,NAR,North America,12,"America, North and Caribbean",9,94,MSR,5000,
MO,Morocco,37687000,31,27,37672000,1,arb,"Arabic, Standard",6,Islam,0.188744814,0.104831718,Y,AFR,Africa,6,"Africa, North and Middle East",63,74,MAR,37773000,757
MZ,Mozambique,32950000,61,11,3154000,5,por,Portuguese,1,Christianity,52.46436343,13.19384287,N,AFR,Africa,7,"Africa, East and Southern",36,61,MOZ,33089000,63
BM,Myanmar (Burma),55126000,149,52,45972000,4,mya,Burmese,2,Buddhism,8.162345026,4.871526647,Y,ASI,Asia,2,"Asia, Southeast",31,76,MMR,55227000,939
WA,Namibia,2559000,33,,,5,eng,English,1,Christianity,88.78880372,12.47223596,N,AFR,Africa,7,"Africa, East and Southern",50,92,NAM,2634000,
NR,Nauru,11000,7,,,5,eng,English,1,Christianity,85.59136143,12.59545904,N,SOP,Oceania,1,Australia and Pacific,100,97,NRU,11000,
NP,Nepal,30101000,270,259,26763000,1,npi,Nepali,5,Hinduism,1.423067086,,Y,ASI,Asia,4,"Asia, South",20,68,NPL,30226000,716
NL,Netherlands,17100000,102,23,1593000,4,nld,Dutch,7,Non-Religious,46.86431321,4.01299015,N,EUR,Europe,10,"Europe, Western",92,98,NLD,17211000,42
NC,New Caledonia,284000,44,,,4,fra,French,1,Christianity,78.45102774,6.183612983,N,SOP,Oceania,1,Australia and Pacific,71,99,NCL,291000,
NZ,New Zealand,4862000,92,28,416000,5,eng,English,1,Christianity,51.04659376,17.67309562,N,SOP,Oceania,1,Australia and Pacific,87,99,NZL,4898000,30
NU,Nicaragua,6715000,18,,,5,spa,Spanish,1,Christianity,96.17942596,42.92104253,N,NAR,North America,11,"America, Latin",59,83,NIC,6779000,
NG,Niger,25995000,38,30,25531000,1,fra,French,6,Islam,1.566901457,0.967879613,Y,AFR,Africa,8,"Africa, West and Central",16,35,NER,26084000,517
NI,Nigeria,216645000,538,91,68004000,5,eng,English,1,Christianity,51.25989554,25.77579227,Y,AFR,Africa,8,"Africa, West and Central",50,62,NGA,216747000,1405
NE,Niue,2000,2,,,4,eng,English,1,Christianity,95.91908714,5.336110856,N,SOP,Oceania,1,Australia and Pacific,45,99,NIU,2000,
NF,Norfolk Island,1600,3,,,5,eng,English,1,Christianity,72.27144572,20.45890928,N,SOP,Oceania,1,Australia and Pacific,,,NFK,1700,
MK,North Macedonia,2074000,22,9,639000,3,mkd,Macedonian,1,Christianity,61.9724942,0.166942209,N,EUR,Europe,9,"Europe, Eastern and Eurasia",58,97,MKD,2081000,19
CQ,Northern Mariana Islands,56000,11,1,900,5,eng,English,1,Christianity,75.35083778,16.89450493,N,SOP,Oceania,1,Australia and Pacific,92,97,MNP,58000,1
NO,Norway,5489000,61,13,264000,4,nor,Norwegian,1,Christianity,87.24936577,7.957708406,N,EUR,Europe,10,"Europe, Western",82,100,NOR,5511000,13
MU,Oman,5308000,35,27,4806000,1,arb,"Arabic, Standard",6,Islam,2.847447442,0.653324688,Y,ASI,Asia,6,"Africa, North and Middle East",85,99,OMN,5324000,105
PK,Pakistan,228504000,835,828,226184000,1,urd,Urdu,6,Islam,1.047221602,,Y,ASI,Asia,4,"Asia, South",37,59,PAK,229489000,4829
PS,Palau,17000,6,,,5,eng,English,1,Christianity,95.66781476,22.11906394,N,SOP,Oceania,1,Australia and Pacific,80,97,PLW,18000,
PM,Panama,4439000,30,2,12000,5,spa,Spanish,1,Christianity,88.19860833,21.58443451,N,NAR,North America,11,"America, Latin",68,94,PAN,4447000,2
PP,Papua New Guinea,9161000,885,1,1100,5,eng,English,1,Christianity,94.38052081,22.99243697,N,AUS,Australia,1,Australia and Pacific,13,64,PNG,9292000,1
PA,Paraguay,7264000,41,2,8200,4,spa,Spanish,1,Christianity,95.60147095,8.012595803,N,LAM,South America,11,"America, Latin",62,95,PRY,7306000,2
PE,Peru,33612000,104,15,214000,5,spa,Spanish,1,Christianity,94.06226713,14.4069278,N,LAM,South America,11,"America, Latin",78,94,PER,33684000,17
RP,Philippines,112404000,202,30,5571000,5,tgl,Tagalog,1,Christianity,90.93531739,13.93177342,N,ASI,Asia,2,"Asia, Southeast",47,95,PHL,112509000,125
PC,Pitcairn Islands,50,1,,,4,eng,English,1,Christianity,96,10,N,SOP,Oceania,1,Australia and Pacific,,,PCN,50,
PL,Poland,37664000,32,5,13000,3,pol,Polish,1,Christianity,89.49317684,0.310303937,N,EUR,Europe,9,"Europe, Eastern and Eurasia",60,100,POL,37740000,5
PO,Portugal,10089000,43,6,110000,4,por,Portuguese,1,Christianity,92.78819,3.519113817,N,EUR,Europe,10,"Europe, Western",65,96,PRT,10141000,7
RQ,Puerto Rico,2734000,14,1,1500,5,spa,Spanish,1,Christianity,94.54869443,32.51080428,N,NAR,North America,12,"America, North and Caribbean",94,99,PRI,2830000,1
QA,Qatar,2904000,24,13,2537000,2,arb,"Arabic, Standard",6,Islam,6.194334897,0.827069864,Y,ASI,Asia,6,"Africa, North and Middle East",99,98,QAT,2980000,53
RE,Reunion,884000,18,7,59000,4,fra,French,1,Christianity,86.13506186,6.816333709,N,AFR,Africa,7,"Africa, East and Southern",95,92,REU,908000,7
RO,Romania,18971000,33,7,75000,4,ron,Romanian,1,Christianity,93.65559879,6.329646091,N,EUR,Europe,9,"Europe, Eastern and Eurasia",54,99,ROU,19031000,7
RS,Russia,145625000,185,117,17499000,3,rus,Russian,1,Christianity,57.59187442,1.463445813,N,ASI,Asia,9,"Europe, Eastern and Eurasia",74,100,RUS,145806000,417
RW,Rwanda,13523000,12,3,10000,5,kin,Kinyarwanda,1,Christianity,89.03517695,26.25622739,N,AFR,Africa,7,"Africa, East and Southern",17,73,RWA,13600000,3
SH,Saint Helena,5800,1,,,4,eng,English,1,Christianity,94.99,8.8,N,AFR,Africa,7,"Africa, East and Southern",40,,SHN,6000,
SC,Saint Kitts and Nevis,54000,4,,,5,eng,English,1,Christianity,92.52873267,22.01101978,N,NAR,North America,12,"America, North and Caribbean",31,98,KNA,54000,
ST,Saint Lucia,180000,5,,,5,eng,English,1,Christianity,94.90235877,18.25606965,N,NAR,North America,12,"America, North and Caribbean",19,95,LCA,185000,
SB,Saint Pierre and Miquelon,5900,2,,,3,fra,French,1,Christianity,96.47183676,0.623021219,N,NAR,North America,12,"America, North and Caribbean",90,99,SPM,6000,
WS,Samoa,199000,5,,,5,smo,Samoan,1,Christianity,96.16332088,18.57000658,N,SOP,Oceania,1,Australia and Pacific,18,99,WSM,202000,
SM,San Marino,33000,1,,,3,ita,Italian,1,Christianity,84.20356463,0.071912624,N,EUR,Europe,10,"Europe, Western",97,96,SMR,34000,
TP,São Tomé and Príncipe,227000,6,,,4,por,Portuguese,1,Christianity,86.1768584,5.964159313,N,AFR,Africa,8,"Africa, West and Central",73,93,STP,228000,
SA,Saudi Arabia,35816000,45,29,32628000,1,arb,"Arabic, Standard",6,Islam,4.020935041,0.529493714,Y,ASI,Asia,6,"Africa, North and Middle East",84,95,SAU,35845000,656
SG,Senegal,17625000,55,26,14290000,1,fra,French,6,Islam,4.571848303,0.184869767,Y,AFR,Africa,8,"Africa, West and Central",47,52,SEN,17654000,295
RI,Serbia,8583000,35,6,146000,3,srp,Serbian,1,Christianity,79.21655085,0.718007038,N,EUR,Europe,9,"Europe, Eastern and Eurasia",56,98,SRB,8653000,8
SE,Seychelles,96000,5,,,4,crs,Seychelles Creole French,1,Christianity,96.18347116,6.955556438,N,AFR,Africa,7,"Africa, East and Southern",57,96,SYC,99000,
SL,Sierra Leone,8300000,28,10,1488000,4,eng,English,6,Islam,12.90160837,4.944768478,N,AFR,Africa,8,"Africa, West and Central",42,43,SLE,8306000,31
SN,Singapore,5917000,51,21,1049000,4,cmn,"Chinese, Mandarin",2,Buddhism,12.94242772,7.101614379,N,ASI,Asia,2,"Asia, Southeast",100,97,SGP,5944000,33
NN,Sint Maarten,43000,9,,,4,eng,English,1,Christianity,88.71895843,7.884882059,N,NAR,North America,12,"America, North and Caribbean",100,87,SXM,44000,
LO,Slovakia,5412000,29,2,3800,3,slk,Slovak,1,Christianity,92.58263487,1.462159775,N,EUR,Europe,9,"Europe, Eastern and Eurasia",54,99,SVK,5460000,2
SI,Slovenia,2054000,16,1,88000,3,slv,Slovene,1,Christianity,54.06200406,0.207939441,N,EUR,Europe,9,"Europe, Eastern and Eurasia",55,99,SVN,2078000,2
BP,Solomon Islands,700000,74,,,5,eng,English,1,Christianity,95.77241809,31.23410113,N,SOP,Oceania,1,Australia and Pacific,24,97,SLB,721000,
SO,Somalia,16740000,22,20,16731000,1,som,Somali,6,Islam,0.299995356,0.014166995,Y,AFR,Africa,7,"Africa, East and Southern",45,38,SOM,16842000,342
SF,South Africa,60618000,65,8,989000,5,eng,English,1,Christianity,77.05750468,21.02044727,N,AFR,Africa,7,"Africa, East and Southern",66,87,ZAF,60756000,22
OD,South Sudan,11546000,80,6,601000,5,eng,English,1,Christianity,56.77326645,10.85520809,N,AFR,Africa,7,"Africa, East and Southern",20,35,SSD,11619000,16
SP,Spain,46646000,104,15,1009000,3,spa,Spanish,1,Christianity,77.30793209,1.601221013,N,EUR,Europe,10,"Europe, Western",80,98,ESP,46719000,32
CE,Sri Lanka,21423000,161,73,3155000,2,sin,Sinhala,2,Buddhism,7.667813168,,Y,ASI,Asia,4,"Asia, South",19,95,LKA,21576000,116
VC,St Vincent and Grenadines,109000,8,,,5,eng,English,1,Christianity,88.78030976,41.02842586,N,NAR,North America,12,"America, North and Caribbean",52,88,VCT,112000,
SU,Sudan,45895000,162,133,43619000,1,arb,"Arabic, Standard",6,Islam,1.366860019,0.285797481,Y,AFR,Africa,7,"Africa, East and Southern",35,61,SDN,45992000,915
NS,Suriname,586000,24,2,31000,5,nld,Dutch,1,Christianity,48.54484921,17.12966397,N,LAM,South America,11,"America, Latin",66,94,SUR,597000,2
SV,Svalbard,2900,2,,,4,nor,Norwegian,1,Christianity,90.90412407,6.641381741,N,EUR,Europe,10,"Europe, Western",,,SJM,2900,
SW,Sweden,10207000,88,22,396000,4,swe,Swedish,1,Christianity,55.86469429,5.745773325,N,EUR,Europe,10,"Europe, Western",87,99,SWE,10219000,23
SZ,Switzerland,8715000,48,10,268000,4,gsw,"German, Swiss",1,Christianity,76.13642882,4.009290043,N,EUR,Europe,10,"Europe, Western",74,100,CHE,8774000,11
SY,Syria,19234000,37,18,6136000,2,arb,"Arabic, Standard",6,Islam,5.720504235,0.190560504,Y,ASI,Asia,6,"Africa, North and Middle East",54,86,SYR,19365000,127
TW,Taiwan,23826000,35,9,4473000,4,cmn,"Chinese, Mandarin",4,Ethnic Religions,6.247559746,3.317114515,Y,ASI,Asia,3,"Asia, Northeast",78,99,TWN,23889000,94
TI,Tajikistan,9908000,39,31,9854000,1,tgk,Tajik,6,Islam,0.421048605,0.069053459,Y,ASI,Asia,5,"Asia, Central",27,99,TJK,9957000,217
TZ,Tanzania,63157000,157,29,6204000,5,swh,Swahili,1,Christianity,51.11506873,10.98536709,N,AFR,Africa,7,"Africa, East and Southern",34,80,TZA,63299000,130
TH,Thailand,69872000,114,77,61625000,1,tha,Thai,2,Buddhism,1.309125642,0.648248998,Y,ASI,Asia,2,"Asia, Southeast",50,95,THA,70078000,1272
TO,Togo,8620000,56,8,636000,5,fra,French,1,Christianity,45.0726171,10.92710169,N,AFR,Africa,8,"Africa, West and Central",42,64,TGO,8681000,16
TL,Tokelau,1000,1,,,4,tkl,Tokelauan,1,Christianity,100,3.4,N,SOP,Oceania,1,Australia and Pacific,0,94,TKL,1000,
TN,Tonga,105000,5,,,5,ton,Tongan,1,Christianity,95.85910199,15.68911537,N,SOP,Oceania,1,Australia and Pacific,23,99,TON,108000,
TD,Trinidad and Tobago,1380000,14,,,5,eng,English,1,Christianity,66.8841734,23.59336102,N,NAR,North America,12,"America, North and Caribbean",53,99,TTO,1407000,
TS,Tunisia,12019000,15,12,11925000,1,arb,"Arabic, Standard",6,Islam,0.448936604,0.029755266,Y,AFR,Africa,6,"Africa, North and Middle East",69,82,TUN,12047000,245
TU,Turkey,85486000,68,45,84726000,1,tur,Turkish,6,Islam,0.597327267,0.037515248,Y,ASI,Asia,5,"Asia, Central",75,96,TUR,85562000,1708
TX,Turkmenistan,6168000,49,30,5861000,1,tuk,Turkmen,6,Islam,3.841416063,0.111330098,Y,ASI,Asia,5,"Asia, Central",52,100,TKM,6202000,136
TK,Turks and Caicos Islands,39000,4,,,5,eng,English,1,Christianity,90.66233507,31.95664858,N,NAR,North America,12,"America, North and Caribbean",93,99,TCA,40000,
TV,Tuvalu,12000,2,,,5,tvl,Tuvaluan,1,Christianity,98.84848485,23.14088584,N,SOP,Oceania,1,Australia and Pacific,62,95,TUV,12000,
UG,Uganda,48333000,69,5,1211000,5,eng,English,1,Christianity,83.08563327,33.14848635,N,AFR,Africa,7,"Africa, East and Southern",24,77,UGA,48433000,26
UP,Ukraine,43132000,78,28,455000,4,ukr,Ukrainian,1,Christianity,72.74528567,3.624135002,N,EUR,Europe,9,"Europe, Eastern and Eurasia",69,99,UKR,43192000,33
AE,United Arab Emirates,10048000,36,31,8356000,2,arb,"Arabic, Standard",6,Islam,6.329012728,1.183503204,Y,ASI,Asia,6,"Africa, North and Middle East",87,90,ARE,10082000,173
UK,United Kingdom,68285000,114,34,5385000,4,eng,English,1,Christianity,56.26358045,7.587250436,N,EUR,Europe,10,"Europe, Western",83,99,GBR,68498000,121
US,United States,334537000,521,97,15006000,5,eng,English,1,Christianity,76.27822354,26.33229559,N,NAR,North America,12,"America, North and Caribbean",82,99,USA,334805000,341
UY,Uruguay,3445000,34,1,16000,4,spa,Spanish,1,Christianity,66.52597979,7.295581886,N,LAM,South America,11,"America, Latin",95,99,URY,3496000,1
UZ,Uzbekistan,34328000,59,34,33102000,1,uzn,"Uzbek, Northern",6,Islam,2.326479168,0.179131126,Y,ASI,Asia,5,"Asia, Central",50,99,UZB,34382000,680
NH,Vanuatu,310000,111,,,5,bis,Bislama,1,Christianity,91.10405705,41.35676006,N,SOP,Oceania,1,Australia and Pacific,25,83,VUT,322000,
VT,Vatican City,1000,1,,,4,lat,Latin,1,Christianity,100,2.5,N,EUR,Europe,10,"Europe, Western",100,100,VAT,1000,
VE,Venezuela,28547000,66,3,34000,5,spa,Spanish,1,Christianity,82.61784787,12.15554467,N,LAM,South America,11,"America, Latin",88,95,VEN,29267000,3
VM,Vietnam,98784000,119,68,9097000,4,vie,Vietnamese,2,Buddhism,10.1886662,2.174470102,Y,ASI,Asia,2,"Asia, Southeast",36,94,VNM,98954000,223
VQ,Virgin Islands (U.S.),103000,7,,,5,eng,English,1,Christianity,94.21295528,24.37489205,N,NAR,North America,12,"America, North and Caribbean",96,92,VIR,104000,
WF,Wallis and Futuna Islands,11000,3,,,3,fra,French,1,Christianity,98.46855839,1.751312908,N,SOP,Oceania,1,Australia and Pacific,0,50,WLF,11000,
WE,West Bank / Gaza,5340000,19,8,5281000,1,ajp,"Arabic, South Levantine Spoken",6,Islam,1.15595999,0.083785904,Y,ASI,Asia,6,"Africa, North and Middle East",76,97,PSE,5346000,110
WI,Western Sahara,621000,10,10,621000,1,ary,"Arabic, Moroccan Spoken",6,Islam,0.027714225,0.000758397,Y,AFR,Africa,6,"Africa, North and Middle East",87,,ESH,626000,16
YM,Yemen,31002000,29,20,30911000,1,arb,"Arabic, Standard",6,Islam,0.198453831,0.020934869,Y,ASI,Asia,6,"Africa, North and Middle East",37,70,YEM,31155000,620
ZA,Zambia,19407000,74,3,99000,5,eng,English,1,Christianity,86.48300279,24.92995431,N,AFR,Africa,7,"Africa, East and Southern",44,87,ZMB,19470000,3
ZI,Zimbabwe,14715000,41,2,25000,5,eng,English,1,Christianity,76.82970853,25.22216228,N,AFR,Africa,7,"Africa, East and Southern",32,89,ZWE,15331000,2
