ROG3,Ctry,PoplPeoples,CntPeoples,CntPeoplesLR,PoplPeoplesLR,JPScaleCtry,ROL3OfficialLanguage,OfficialLang,RLG3Primary,ReligionPrimary,PercentChristianity,PercentEvangelical,10_40Window,ROG2,Continent,RegionCode,RegionName,PercentUrbanized,LiteracyRate,ISO3,Population,WorkersNeeded,wwl_2022_rank,private_life,family_life,community_life,national_life,church_life,violence,total_score_wwl_2022,wwl_2021_rank,total_score_wwl_2021,jun07gri,jun07shi,dec18gri,dec18shi,dec19gri,dec19shi,HDI_Rank_2019,Human Development Index (HDI),Life expectancy at birth,Expected years of schooling,Mean years of schooling,Gross national income (GNI) per capita,GNI per capita rank minus HDI rank,HDI rank_2018
FG,French Guiana,306000,22,1,4700,4,fra,French,1,Christianity,81.05311238,5.691420708,N,LAM,South America,11,"America, Latin",84,83,GUF,314000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
FP,French Polynesia,277000,13,NA,NA,4,fra,French,1,Christianity,83.79732386,6.119131953,N,SOP,Oceania,1,Australia and Pacific,62,98,PYF,284000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GB,Gabon,2308000,52,5,65000,5,fra,French,1,Christianity,74.77287308,11.86058856,N,AFR,Africa,8,"Africa, West and Central",89,85,GAB,2332000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.1,1.1,1,1.1,1,119,0.703,66.5,13,8.7,"13,930",-30,119
GA,Gambia,2527000,29,14,2142000,1,eng,English,6,Islam,3.665792082,0.901833927,Y,AFR,Africa,8,"Africa, West and Central",61,56,GMB,2558000,49,72,8.3,8.2,8.7,8.3,8.8,1.7,44,70,43,0.5,0.8,0.9,2.2,1.1,1.8,172,0.496,62.1,9.9,3.9,"2,168",-1,172
GG,Georgia,3929000,40,16,273000,3,kat,Georgian,1,Christianity,80.45689634,1.356031842,N,EUR,Europe,9,"Europe, Eastern and Eurasia",59,99,GEO,3969000,20,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.2,4.7,3.5,4.3,3.6,3.3,61,0.812,73.8,15.3,13.1,"14,429",22,63
GM,Germany,83801000,94,27,6343000,4,deu,"German, Standard",1,Christianity,61.26064911,2.084175619,N,EUR,Europe,10,"Europe, Western",77,99,DEU,83884000,138,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,3.1,2.1,3.3,5.8,3.2,5.9,6,0.947,81.3,17,14.2,"55,314",11,4
GH,Ghana,32300000,111,18,1692000,5,eng,English,1,Christianity,62.39844854,25.8910198,N,AFR,Africa,8,"Africa, West and Central",56,79,GHA,32395000,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,4.9,1.6,2.6,1.6,1.8,138,0.611,64.1,11.5,7.3,"5,269",-3,138
GI,Gibraltar,33000,6,3,3200,4,eng,English,1,Christianity,80.20204328,2.205613711,N,EUR,Europe,10,"Europe, Western",100,80,GIB,34000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GR,Greece,10243000,51,10,201000,3,ell,Greek,1,Christianity,88.85592022,0.498634505,N,EUR,Europe,9,"Europe, Eastern and Eurasia",79,98,GRC,10317000,11,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,5.2,4.4,3.9,5.5,4.4,3.2,32,0.888,82.2,17.9,10.6,"30,155",14,33
GL,Greenland,56000,4,NA,NA,4,kal,Greenlandic,1,Christianity,95.30430406,7.623316117,N,NAR,North America,12,"America, North and Caribbean",87,99,GRL,57000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GJ,Grenada,109000,6,NA,NA,5,eng,English,1,Christianity,92.38464087,18.82175176,N,NAR,North America,12,"America, North and Caribbean",36,96,GRD,113000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.5,0,2,0,2,0,74,0.779,72.4,16.9,9,"15,641",3,74
GP,Guadeloupe,392000,7,NA,NA,4,fra,French,1,Christianity,95.19514193,4.763871512,N,NAR,North America,12,"America, North and Caribbean",98,100,GLP,4.00E+05,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GQ,Guam,167000,15,1,2700,5,eng,English,1,Christianity,92.56243882,15.89612554,N,SOP,Oceania,1,Australia and Pacific,95,96,GUM,172000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
GT,Guatemala,18510000,60,1,900,5,spa,Spanish,1,Christianity,95.30431139,24.96161549,N,NAR,North America,11,"America, Latin",51,82,GTM,18584000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,1,2.3,1.2,1.9,1,127,0.663,74.3,10.8,6.6,"8,494",-10,128
GV,Guinea,13791000,47,29,11990000,1,fra,French,6,Islam,4.216215741,0.714538704,Y,AFR,Africa,8,"Africa, West and Central",36,30,GIN,13866000,252,73,10.3,7.5,8.3,7,8.1,2,43,66,47,1.5,1.7,2.6,3.2,2.6,2.7,178,0.477,61.6,9.4,2.8,"2,405",-12,177
PU,Guinea-Bissau,2039000,35,19,975000,4,por,Portuguese,6,Islam,11.63513227,2.031158228,Y,AFR,Africa,8,"Africa, West and Central",43,60,GNB,2063000,32,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.6,0,0.7,0.8,0.7,1.1,175,0.48,58.3,10.6,3.6,"1,996",1,178
GY,Guyana,779000,21,1,4000,5,eng,English,1,Christianity,40.56740351,13.24823487,N,LAM,South America,11,"America, Latin",27,89,GUY,794000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.7,0,2.5,0,2.5,0,122,0.682,69.9,11.4,8.5,"9,455",-10,121
HA,Haiti,11644000,6,NA,NA,5,fra,French,1,Christianity,94.84388198,17.52903754,N,NAR,North America,12,"America, North and Caribbean",55,62,HTI,11680000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0.6,2.9,2,2.2,3.1,170,0.51,64,9.7,5.6,"1,709",7,170
HO,Honduras,10167000,22,1,2000,5,spa,Spanish,1,Christianity,95.6969526,27.47608797,N,NAR,North America,11,"America, Latin",57,87,HND,10221000,1,68,7.2,5.1,10.5,7.7,9.2,8.7,48,67,46,1.3,0.3,2,1.4,2,2.5,132,0.634,75.3,10.1,6.6,"5,308",1,132
HU,Hungary,9551000,28,4,74000,4,hun,Hungarian,1,Christianity,87.03391762,3.055331045,N,EUR,Europe,9,"Europe, Eastern and Eurasia",71,99,HUN,9606000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,1,2.7,3.7,2.8,3,40,0.854,76.9,15.2,12,"31,329",4,42
IC,Iceland,335000,12,2,2100,4,isl,Icelandic,1,Christianity,90.04523656,4.43399041,N,EUR,Europe,10,"Europe, Western",94,100,ISL,345000,2,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.6,0.4,3.7,0.2,3.7,1,4,0.949,83,19.1,12.8,"54,682",14,4
IN,India,1400230000,2373,2135,1332045000,1,hin,Hindi,5,Hinduism,2.318034232,NA,Y,ASI,Asia,4,"Asia, South",34,74,IND,1406632000,27422,10,12.7,12.7,12.9,14.7,13.3,15.6,82,10,83,4.8,8.8,5.9,9.6,5.6,9.1,131,0.645,69.7,12.2,6.5,"6,681",-5,130
ID,Indonesia,278763000,787,241,196131000,4,ind,Indonesian,6,Islam,11.27324396,3.210521231,Y,ASI,Asia,2,"Asia, Southeast",55,96,IDN,279135000,4024,28,11.3,11.5,11.5,11,9.6,13.5,68,47,63,6.2,8.3,7.7,6.7,7.9,4.8,107,0.718,71.7,13.6,8.2,"11,459",-4,110
IR,Iran,85888000,94,84,85552000,1,pes,"Persian, Iranian",6,Islam,1.871342047,0.520967024,Y,ASI,Asia,5,"Asia, Central",75,86,IRN,86023000,1746,9,14.5,14.6,13.6,15.8,16.5,10.4,85,8,86,7.9,6,8.5,2.6,8.1,1.5,NA,NA,NA,NA,NA,NA,NA,NA
IZ,Iraq,41981000,35,25,41140000,1,arb,"Arabic, Standard",6,Islam,1.555700367,0.404369504,Y,ASI,Asia,6,"Africa, North and Middle East",71,86,IRQ,42165000,828,14,14,14.6,14,14.8,13.9,6.9,78,11,82,5.1,10,7.2,9.1,7.1,7.7,123,0.674,70.6,11.3,7.3,"10,801",-16,123
EI,Ireland,4968000,45,5,48000,3,eng,English,1,Christianity,91.40623948,1.554590078,N,EUR,Europe,10,"Europe, Western",63,99,IRL,5020000,5,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.6,0.4,1,1.4,1.5,3,2,0.955,82.3,18.7,12.7,"68,371",4,3
IM,Isle of Man,83000,3,NA,NA,4,eng,English,1,Christianity,97.70126113,7.784132305,N,EUR,Europe,10,"Europe, Western",53,NA,IMN,86000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
IS,Israel,8828000,49,38,8563000,1,heb,Hebrew,4,Ethnic Religions,1.726726529,0.693582859,Y,ASI,Asia,6,"Africa, North and Middle East",92,98,ISR,8923000,189,76,9.8,8.4,5.6,6.6,6.6,4.3,41,40,40,3.9,7.8,6,8.5,6,7.4,19,0.919,83,16.2,13,"40,187",14,21
IT,Italy,60174000,105,23,2082000,3,ita,Italian,1,Christianity,81.33355455,1.456661284,N,EUR,Europe,10,"Europe, Western",70,99,ITA,60263000,56,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,1.9,2.9,2.8,2.9,1.7,29,0.892,83.5,16.1,10.4,"42,776",0,29
JM,Jamaica,2968000,9,NA,NA,5,eng,English,1,Christianity,81.357184,29.74887218,N,NAR,North America,12,"America, North and Caribbean",56,89,JAM,2985000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1,0,1.4,0.1,2.1,0.1,101,0.734,74.5,13.1,9.7,"9,319",13,98
JA,Japan,125505000,38,26,122893000,1,jpn,Japanese,2,Buddhism,2.162806028,0.566187435,Y,ASI,Asia,3,"Asia, Northeast",92,99,JPN,125585000,2471,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0.4,0.8,0.1,0.8,0.1,19,0.919,84.6,15.2,12.9,"42,932",9,20
JO,Jordan,10221000,20,13,9525000,1,arb,"Arabic, Standard",6,Islam,2.277097036,0.266019935,Y,ASI,Asia,6,"Africa, North and Middle East",91,98,JOR,10301000,192,39,12.9,14,11,12.3,12.5,3,66,38,64,4.6,3.5,4.9,3.8,4.9,3.7,102,0.729,74.5,11.4,10.5,"9,858",8,103
KZ,Kazakhstan,19124000,72,36,14429000,2,kaz,Kazakh,6,Islam,13.65872872,0.585063794,Y,ASI,Asia,5,"Asia, Central",57,99,KAZ,19205000,312,47,13.4,11.6,11.1,12.6,13.5,1.7,64,41,64,5.6,3.1,7,1.2,7,2,51,0.825,73.6,15.6,11.9,"22,857",9,53
KE,Kenya,56171000,109,32,5416000,5,eng,English,1,Christianity,79.82693849,49.60421742,N,AFR,Africa,7,"Africa, East and Southern",27,82,KEN,56215000,121,51,11.7,9.2,11.4,8,11.5,11.1,63,49,62,2.9,2.4,3.2,6.4,3.1,6.4,143,0.601,66.7,11.3,6.6,"4,244",5,141
KR,Kiribati (Gilbert),119000,5,NA,NA,4,eng,English,1,Christianity,98.42129381,8.474952922,N,SOP,Oceania,1,Australia and Pacific,54,93,KIR,123000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KN,"Korea, North",25866000,5,2,25676000,1,kor,Korean,7,Non-Religious,1.657285234,1.569471639,Y,ASI,Asia,3,"Asia, Northeast",62,99,PRK,25991000,513,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KS,"Korea, South",51253000,23,11,443000,5,kor,Korean,7,Non-Religious,30.10154872,16.36024581,N,ASI,Asia,3,"Asia, Northeast",82,99,KOR,51330000,13,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
KV,Kosovo,1903000,10,5,1828000,1,aln,"Albanian, Gheg",6,Islam,4.165655743,0.194685471,N,EUR,Europe,9,"Europe, Eastern and Eurasia",NA,92,XKV,1953000,39,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,2.4,2.4,4.1,2.9,3.1,NA,NA,NA,NA,NA,NA,NA,NA
KU,Kuwait,4308000,28,13,3264000,2,arb,"Arabic, Standard",6,Islam,10.06943179,1.50499633,Y,ASI,Asia,6,"Africa, North and Middle East",100,94,KWT,4380000,70,49,13.5,13.7,9.8,12.3,13.1,1.1,64,48,63,4.8,1.9,5.6,1.5,6.2,0.8,64,0.806,75.5,14.2,7.3,"58,590",-51,62
KG,Kyrgyzstan,6696000,39,28,6252000,1,kir,Kyrgyz,6,Islam,3.706471593,0.302345811,Y,ASI,Asia,5,"Asia, Central",36,99,KGZ,6728000,145,59,12.9,10.1,11.1,10.4,12,1.5,58,56,58,3.9,5.5,6.5,4.6,6.6,2.2,120,0.697,71.5,13,11.1,"4,864",23,120
LA,Laos,7408000,126,96,5609000,4,lao,Lao,2,Buddhism,3.773751106,2.541738984,Y,ASI,Asia,2,"Asia, Southeast",35,85,LAO,7481000,178,26,12,10.3,13.2,13.3,14.1,5.9,69,22,71,6.3,1,6.2,3.1,6.1,2.2,NA,NA,NA,NA,NA,NA,NA,NA
LG,Latvia,1773000,21,4,9400,4,lvs,"Latvian, Standard",1,Christianity,60.14046536,7.362038441,N,EUR,Europe,9,"Europe, Eastern and Eurasia",68,99,LVA,1849000,4,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.3,1.4,2.6,0.1,2.6,0.2,37,0.866,75.3,16.2,13,"30,282",8,37
LE,Lebanon,6630000,26,8,924000,2,arb,"Arabic, Standard",6,Islam,32.85932009,0.710899159,Y,ASI,Asia,6,"Africa, North and Middle East",87,94,LBN,6685000,21,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,5.1,4.1,3.8,4.6,3.9,92,0.744,78.9,11.3,8.7,"14,655",-11,90
LT,Lesotho,2107000,10,NA,NA,5,eng,English,1,Christianity,91.23658429,13.09987742,N,AFR,Africa,7,"Africa, East and Southern",28,79,LSO,2176000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0,0.6,0,0.6,0,165,0.527,54.3,11.3,6.5,"3,151",-6,165
LI,Liberia,5266000,39,5,599000,5,eng,English,4,Ethnic Religions,40.02359215,11.67715487,N,AFR,Africa,8,"Africa, West and Central",51,48,LBR,5305000,12,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,3.8,2.1,2.2,1.4,1.8,175,0.48,64.1,9.6,4.8,"1,258",8,173
LY,Libya,6990000,44,31,6167000,1,arb,"Arabic, Standard",6,Islam,2.477804268,0.158468472,Y,AFR,Africa,6,"Africa, North and Middle East",80,91,LBY,7041000,132,4,15.6,15.5,15.9,16.2,16.3,11.5,91,4,92,5.1,1.4,5.5,7.6,5.8,7.7,105,0.724,72.9,12.9,7.6,"15,688",-29,106
LS,Liechtenstein,38000,8,1,1000,3,deu,"German, Standard",1,Christianity,78.17798553,0.56335706,N,EUR,Europe,10,"Europe, Western",14,100,LIE,38000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.3,0.1,2,1.6,2,0.8,19,0.919,80.7,14.9,12.5,"131,032",-18,19
LH,Lithuania,2656000,20,6,7500,3,lit,Lithuanian,1,Christianity,84.60282325,1.415574867,N,EUR,Europe,9,"Europe, Eastern and Eurasia",68,99,LTU,2662000,6,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.7,0.8,2.8,0.8,2.8,0.6,34,0.882,75.9,16.6,13.1,"35,799",5,35
LU,Luxembourg,601000,20,3,2900,3,ltz,Luxembourgish,1,Christianity,80.29749236,0.994651114,N,EUR,Europe,10,"Europe, Western",91,99,LUX,642000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.8,0,3.1,0.8,2.9,1,23,0.916,82.3,14.3,12.3,"72,712",-19,23
MA,Madagascar,29085000,40,11,461000,4,plt,"Malagasy, Merina",1,Christianity,49.65690306,6.096252267,N,AFR,Africa,7,"Africa, East and Southern",37,75,MDG,29178000,15,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.8,0,2.8,1.6,2.8,0.9,164,0.528,67,10.2,6.1,"1,596",16,163
MI,Malawi,20074000,26,4,2184000,5,eng,English,1,Christianity,75.70884834,17.02567233,N,AFR,Africa,7,"Africa, East and Southern",17,62,MWI,20181000,45,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,0.3,2.2,0.8,2.2,1.8,174,0.483,64.3,11.2,4.7,"1,035",13,174
MY,Malaysia,33059000,181,77,16586000,4,zlm,Malay,6,Islam,9.673239711,3.520680442,Y,ASI,Asia,2,"Asia, Southeast",76,95,MYS,33181000,381,50,12.5,14.3,11.5,11.6,10.2,3.3,63,46,63,6.4,1,8.2,6.4,8.5,3.9,62,0.81,76.2,13.7,10.4,"27,534",-11,63
MV,Maldives,512000,7,7,512000,1,div,Maldivian,6,Islam,0.030669364,0.01062486,Y,ASI,Asia,4,"Asia, South",40,98,MDV,541000,16,16,15.4,15.3,13.7,15.8,16.5,0.4,78,15,77,6.5,2.6,8.2,1.7,7.7,2.9,95,0.74,78.9,12.2,7,"17,417",-24,98
ML,Mali,21285000,73,43,19462000,1,fra,French,6,Islam,2.811735655,0.666500913,Y,AFR,Africa,8,"Africa, West and Central",42,36,MLI,21474000,397,24,9.4,8.2,13.9,10.3,12.8,15,70,28,67,0.9,0.3,2.2,5.9,1.7,6.9,184,0.434,59.3,7.5,2.4,"2,269",-17,184
MT,Malta,425000,10,3,2000,3,mlt,Maltese,1,Christianity,96.26113217,1.538048445,N,EUR,Europe,10,"Europe, Western",96,94,MLT,444000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.2,0.4,2.1,0.3,2.2,0.8,28,0.895,82.5,16.1,11.3,"39,555",6,28
RM,Marshall Islands,57000,6,1,400,5,eng,English,1,Christianity,95.26244402,52.91037218,N,SOP,Oceania,1,Australia and Pacific,77,98,MHL,60000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.2,0,0.6,0.8,0.6,0.7,117,0.704,74.1,12.4,10.9,"5,039",21,116
MB,Martinique,361000,7,NA,NA,4,fra,French,1,Christianity,94.86134484,6.903201152,N,NAR,North America,12,"America, North and Caribbean",89,87,MTQ,374000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MR,Mauritania,4868000,18,14,4853000,1,arb,"Arabic, Standard",6,Islam,0.279914544,0.124528363,Y,AFR,Africa,8,"Africa, West and Central",54,54,MRT,4902000,104,23,14.3,13.9,13.1,14,14.1,0.9,70,20,71,6.5,0.9,6.6,2.1,6.1,2,157,0.546,64.9,8.6,4.7,"5,135",-21,157
MP,Mauritius,1243000,18,8,108000,4,eng,English,5,Hinduism,32.48507889,9.725992877,N,AFR,Africa,7,"Africa, East and Southern",41,91,MUS,1275000,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.4,0.3,1.5,0.3,1.5,0.4,66,0.804,75,15.1,9.5,"25,266",-10,66
MF,Mayotte,277000,8,6,273000,1,fra,French,6,Islam,1.626497419,0.09263042,N,AFR,Africa,7,"Africa, East and Southern",47,92,MYT,286000,9,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MX,Mexico,131468000,343,3,98000,5,spa,Spanish,1,Christianity,95.30583471,10.47898677,N,NAR,North America,11,"America, Latin",80,95,MEX,131563000,3,43,10.3,8.3,12.5,10.8,10.3,12.6,65,37,64,4.7,5.5,4.1,5.5,4.1,4.5,74,0.779,75.1,14.8,8.8,"19,160",-8,76
FM,"Micronesia, Federated States",114000,25,1,800,5,eng,English,1,Christianity,95.41265745,22.76681125,N,SOP,Oceania,1,Australia and Pacific,23,89,FSM,117000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MD,Moldova,3939000,26,8,13000,4,ron,Romanian,1,Christianity,75.47976374,4.618147156,N,EUR,Europe,9,"Europe, Eastern and Eurasia",43,99,MDA,4013000,8,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,4.2,3.8,4.6,4.6,4.6,4.3,NA,NA,NA,NA,NA,NA,NA,NA
MN,Monaco,39000,14,1,700,3,fra,French,1,Christianity,82.54025132,1.269976003,N,EUR,Europe,10,"Europe, Western",100,99,MCO,40000,1,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2.5,0,2.8,0,2.6,0,191,..,..,..,..,..,..,..
MG,Mongolia,3327000,28,22,3263000,1,khk,"Mongolian, Halh",2,Buddhism,1.762707824,0.863313622,Y,ASI,Asia,3,"Asia, Northeast",68,97,MNG,3378000,74,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,1.9,0.6,3.1,1.1,3.1,1.2,99,0.737,69.9,14.2,10.3,"10,839",7,97
MJ,Montenegro,599000,16,3,55000,3,srp,Serbian,1,Christianity,74.2605054,0.264274871,N,EUR,Europe,9,"Europe, Eastern and Eurasia",67,99,MNE,628000,3,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.9,2.4,1.7,0.3,2.9,0.5,48,0.829,76.9,15,11.6,"21,399",13,48
MH,Montserrat,4900,2,NA,NA,5,eng,English,1,Christianity,94.92014427,27.49856365,N,NAR,North America,12,"America, North and Caribbean",9,94,MSR,5000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
MO,Morocco,37687000,31,27,37672000,1,arb,"Arabic, Standard",6,Islam,0.188744814,0.104831718,Y,AFR,Africa,6,"Africa, North and Middle East",63,74,MAR,37773000,757,27,13.1,13.8,10.8,12.8,14.2,3.9,69,27,67,4.9,3.7,7.2,2.9,6.2,2.3,121,0.686,76.7,13.7,5.6,"7,368",1,121
MZ,Mozambique,32950000,61,11,3154000,5,por,Portuguese,1,Christianity,52.46436343,13.19384287,N,AFR,Africa,7,"Africa, East and Southern",36,61,MOZ,33089000,63,41,9.3,8.5,11.3,7.9,12.5,15.6,65,45,63,1,0.3,3,2.8,3.6,2.2,181,0.456,60.9,10,3.5,"1,250",3,181
BM,Myanmar (Burma),55126000,149,52,45972000,4,mya,Burmese,2,Buddhism,8.162345026,4.871526647,Y,ASI,Asia,2,"Asia, Southeast",31,76,MMR,55227000,939,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
WA,Namibia,2559000,33,NA,NA,5,eng,English,1,Christianity,88.78880372,12.47223596,N,AFR,Africa,7,"Africa, East and Southern",50,92,NAM,2634000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0,0.9,0,1.3,0,130,0.646,63.7,12.6,7,"9,357",-17,129
NR,Nauru,11000,7,NA,NA,5,eng,English,1,Christianity,85.59136143,12.59545904,N,SOP,Oceania,1,Australia and Pacific,100,97,NRU,11000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,2,0.3,1.6,0,1.8,0,192,..,..,11.2,..,"16,237",..,..
NP,Nepal,30101000,270,259,26763000,1,npi,Nepali,5,Hinduism,1.423067086,NA,Y,ASI,Asia,4,"Asia, South",20,68,NPL,30226000,716,48,12.4,9.8,9.9,13.6,12.7,5.2,64,34,66,3.4,4.2,5.2,4.9,5.2,3,142,0.602,70.8,12.8,5,"3,457",13,143
NL,Netherlands,17100000,102,23,1593000,4,nld,Dutch,7,Non-Religious,46.86431321,4.01299015,N,EUR,Europe,10,"Europe, Western",92,98,NLD,17211000,42,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.4,1,2.8,3.6,3.8,2.6,8,0.944,82.3,18.5,12.4,"57,707",6,9
NC,New Caledonia,284000,44,NA,NA,4,fra,French,1,Christianity,78.45102774,6.183612983,N,SOP,Oceania,1,Australia and Pacific,71,99,NCL,291000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
NZ,New Zealand,4862000,92,28,416000,5,eng,English,1,Christianity,51.04659376,17.67309562,N,SOP,Oceania,1,Australia and Pacific,87,99,NZL,4898000,30,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,0.3,0.4,1,2.6,0.5,3.4,14,0.931,82.3,18.8,12.8,"40,799",18,14
NU,Nicaragua,6715000,18,NA,NA,5,spa,Spanish,1,Christianity,96.17942596,42.92104253,N,NAR,North America,11,"America, Latin",59,83,NIC,6779000,NA,61,9.1,5.6,11.1,11.8,11.3,7.6,56,63,51,2.1,0.5,3.2,1.8,2.8,1.7,128,0.66,74.5,12.3,6.9,"5,284",6,127
NG,Niger,25995000,38,30,25531000,1,fra,French,6,Islam,1.566901457,0.967879613,Y,AFR,Africa,8,"Africa, West and Central",16,35,NER,26084000,517,33,9.4,9.5,13.9,7.2,12.8,14.8,68,54,62,1.7,1.5,3.7,2.3,4.5,3.7,189,0.394,62.4,6.5,2.1,"1,201",-4,189
NI,Nigeria,216645000,538,91,68004000,5,eng,English,1,Christianity,51.25989554,25.77579227,Y,AFR,Africa,8,"Africa, West and Central",50,62,NGA,216747000,1405,7,13.8,13.8,14.3,14.5,14.4,16.7,87,9,85,3.7,4.4,4.9,8.5,4.4,8.4,161,0.539,54.7,10,6.7,"4,910",-19,161
NE,Niue,2000,2,NA,NA,4,eng,English,1,Christianity,95.91908714,5.336110856,N,SOP,Oceania,1,Australia and Pacific,45,99,NIU,2000,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA,NA
