,country,jun07gri,jun07shi,dec18gri,dec18shi,dec19gri,dec19shi
1,Antigua and Barbuda,1.1,0.3,1.3,0,0.8,0
2,Argentina,1.7,0.6,2.3,1.3,2.1,1.7
3,Bahamas,1.4,0.5,3.1,0,3.4,0
4,Barbados,0.8,0.3,2.3,0.1,2.3,0.1
5,Belize,1.3,0,1.1,0.3,1.1,1
6,Bolivia,1,0,1,3,1,2.9
7,Brazil,0.4,0.8,1.3,4.5,2.4,4.7
8,Canada,1,1.2,1.2,2.3,2,1.9
9,Chile,1.2,0.4,1.3,0.8,1.5,0.7
10,Colombia,1.8,3.3,1.4,3.3,1.4,2.6
11,Costa Rica,1,0,2.7,0.1,2.7,0.2
12,Cuba,4.5,0,4.3,0.1,5.3,0.2
13,Dominica,0.8,0.3,1.6,0,2.4,0
14,Dominican Republic,0.6,0,1.3,0,1.5,0
15,Ecuador,1.1,0.6,2.2,0.4,2.5,0.3
16,El Salvador,0.6,0.4,2.3,3.1,2.3,2.7
17,Grenada,0.5,0,2,0,2,0
18,Guatemala,1.2,1,2.3,1.2,1.9,1
19,Guyana,0.7,0,2.5,0,2.5,0
20,Haiti,1.8,0.6,2.9,2,2.2,3.1
21,Honduras,1.3,0.3,2,1.4,2,2.5
22,Jamaica,1,0,1.4,0.1,2.1,0.1
23,Mexico,4.7,5.5,4.1,5.5,4.1,4.5
24,Nicaragua,2.1,0.5,3.2,1.8,2.8,1.7
25,Panama,0.7,0,2.6,0,1.5,0
26,Paraguay,0.6,0.7,1.9,1.5,1.7,2.2
27,Peru,1.8,0,2,0.7,1.6,0.2
28,St. Kitts and Nevis,0.6,0.3,1.5,0.1,1.6,0.1
29,St. Lucia,0.6,0.3,1.9,0.1,1.9,0.1
30,St. Vincent and the Grenadines,0.6,0.3,1.6,0.1,1.4,0.1
31,Suriname,0,0,0.9,0,0.9,0
32,Trinidad and Tobago,0.3,0.6,0.9,2,1,0.8
33,United States,1.6,1.9,3.2,2.6,3.2,1.6
34,Uruguay,0.3,0.6,1.6,2,1.6,0.8
35,Venezuela,3.6,0.8,4.1,0.8,3.8,1.6
36,Afghanistan,5.3,8.5,6.5,6.9,6.3,5.6
37,Armenia,3.4,2.7,4.8,4.2,3.5,1.9
38,Australia,1.3,1.8,1.8,2.7,1.1,2.4
39,Azerbaijan,5,2.9,6.9,0.8,7,1.6
40,Bangladesh,4,8.3,4.7,6.9,4.8,6.7
41,Bhutan,4.4,1.9,4.7,0.4,4.6,0.4
42,Brunei,7.2,4.2,6.6,2.4,6.6,1.3
43,Cambodia,2.9,0.8,4,1.5,3.5,0.7
44,China,7.8,0.9,9.3,1.5,9.3,0.6
45,Cyprus,1.2,0.9,3.3,2.8,3.2,3.3
46,Federated States of Micronesia,0.2,0,1,0.4,0.3,0.5
47,Fiji,0.9,2.6,1.5,0.2,1.5,1
48,Hong Kong,1,0.8,1.8,0.3,1.8,0.4
49,India,4.8,8.8,5.9,9.6,5.6,9.1
50,Indonesia,6.2,8.3,7.7,6.7,7.9,4.8
51,Iran,7.9,6,8.5,2.6,8.1,1.5
52,Japan,0.2,0.4,0.8,0.1,0.8,0.1
53,Kazakhstan,5.6,3.1,7,1.2,7,2
54,Kiribati,0.3,0.8,0.9,1.2,0.9,1.2
55,Kyrgyzstan,3.9,5.5,6.5,4.6,6.6,2.2
56,Laos,6.3,1,6.2,3.1,6.1,2.2
57,Macao,1.3,0.3,1.1,0,1.1,0
58,Malaysia,6.4,1,8.2,6.4,8.5,3.9
59,Maldives,6.5,2.6,8.2,1.7,7.7,2.9
60,Marshall Islands,0.2,0,0.6,0.8,0.6,0.7
61,Mongolia,1.9,0.6,3.1,1.1,3.1,1.2
62,Myanmar,7.9,4.9,7.3,4.4,7.6,2.7
63,Nauru,2,0.3,1.6,0,1.8,0
64,Nepal,3.4,4.2,5.2,4.9,5.2,3
65,New Zealand,0.3,0.4,1,2.6,0.5,3.4
66,Pakistan,5.8,8.9,6.5,7.5,6.3,8.1
67,Palau,0.6,0.3,0.7,0,0.5,0
68,Papua New Guinea,0.8,0,1.5,2.9,1.6,2.7
69,Philippines,1.6,3.7,1.9,4.2,1.4,4.9
70,Samoa,0.8,0.4,1.4,2.8,1.4,1.8
71,Singapore,4.6,0.2,7.1,1.9,6.9,1.2
72,Solomon Islands,0.6,0.4,1,0.8,1,0.9
73,South Korea,1.6,0,2.5,3.4,2.6,5
74,Sri Lanka,4,7.8,4.2,7.2,6,8
75,Taiwan,0.5,0,1.7,0.7,1.7,0.3
76,Tajikistan,4.5,2.2,7.9,3.1,6.9,3.9
77,Thailand,2.6,2.6,5.4,4.6,5.3,4.2
78,Timor-Leste,0.9,4.2,1.1,0.8,1,0.9
79,Tonga,2,0,1.6,0.3,1.6,0.3
80,Turkey,6.6,4.7,6.9,3.6,7,4.2
81,Turkmenistan,5.6,1.5,7.9,2,7.6,1.2
82,Tuvalu,1.8,2.1,2,2,2,1.2
83,Uzbekistan,7.7,3.3,7.5,2.2,7.2,2.9
84,Vanuatu,1,1,1.3,0.3,1.3,0
85,Vietnam,6.6,1.2,7.5,2.1,6.4,3
86,Albania,0.8,0.2,2.4,0,1.9,0
87,Andorra,0.9,0,2.4,0,2.4,0
88,Austria,2.6,1.1,4.3,2.4,4.4,2.1
89,Belarus,5.9,1.4,6.2,1.3,5.7,1.4
90,Belgium,4,0.9,3.3,4,3.9,3.9
91,Bosnia-Herzegovina,1.5,2.4,2.8,2.2,2.8,2.5
92,Bulgaria,4,2.2,5.7,4.2,5.6,4
93,Croatia,0.7,2,2.9,0.6,2.2,0.5
94,Czech Republic,1,1.2,2.8,1.9,2.4,1.1
95,Denmark,2.5,1.2,4.7,3.6,4.1,3.7
96,Estonia,1.1,0.8,0.9,0.4,1.4,0.4
97,Finland,0.6,0.8,2.6,2.2,2.5,3
98,France,3.3,3.4,5,5.4,4.6,3.5
99,Georgia,2.2,4.7,3.5,4.3,3.6,3.3
100,Germany,3.1,2.1,3.3,5.8,3.2,5.9
101,Greece,5.2,4.4,3.9,5.5,4.4,3.2
102,Hungary,0.3,1,2.7,3.7,2.8,3
103,Iceland,2.6,0.4,3.7,0.2,3.7,1
104,Ireland,0.6,0.4,1,1.4,1.5,3
105,Italy,2,1.9,2.9,2.8,2.9,1.7
106,Kosovo,1.9,2.4,2.4,4.1,2.9,3.1
107,Latvia,2.3,1.4,2.6,0.1,2.6,0.2
108,Liechtenstein,1.3,0.1,2,1.6,2,0.8
109,Lithuania,1.7,0.8,2.8,0.8,2.8,0.6
110,Luxembourg,0.8,0,3.1,0.8,2.9,1
111,Malta,1.2,0.4,2.1,0.3,2.2,0.8
112,Moldova,4.2,3.8,4.6,4.6,4.6,4.3
113,Monaco,2.5,0,2.8,0,2.6,0
114,Montenegro,0.9,2.4,1.7,0.3,2.9,0.5
115,Netherlands,0.4,1,2.8,3.6,3.8,2.6
116,North Macedonia,2.2,1.5,3.3,3.1,2.8,2.8
117,Norway,1.5,1,3.2,1.7,3.2,1.5
118,Poland,1,0.9,2.6,2.2,3.5,2.6
119,Portugal,0.3,0,1,0.3,1,0.1
120,Romania,4.8,5.5,4.8,4,4.8,1.7
121,Russia,5.8,3.7,8.1,5.3,8.2,4.5
122,San Marino,0.1,0,0.6,0,0.6,0
123,Serbia,3.1,1.5,3.6,1.1,3.4,2.1
124,Slovakia,2.8,1.9,3,2.8,3,2.9
125,Slovenia,0.6,1,1.8,0.1,1.8,0.9
126,Spain,2,1.6,4,3.3,4.3,4.2
127,Sweden,1.2,0.7,2.8,3.3,2.6,1.5
128,Switzerland,1.2,1.7,2.6,4,2.6,3.5
129,Ukraine,2.6,1.9,4.8,5.9,4.7,4.8
130,United Kingdom,1.6,1.6,2.8,4.6,3.2,5.2
131,Algeria,5.6,3.6,8,6,8,4.9
132,Bahrain,4.3,3,6.3,1.7,6.4,1.6
133,Egypt,7.2,6.1,7.7,7.5,8.4,6.5
134,Iraq,5.1,10,7.2,9.1,7.1,7.7
135,Israel,3.9,7.8,6,8.5,6,7.4
136,Jordan,4.6,3.5,4.9,3.8,4.9,3.7
137,Kuwait,4.8,1.9,5.6,1.5,6.2,0.8
138,Lebanon,1.4,5.1,4.1,3.8,4.6,3.9
139,Libya,5.1,1.4,5.5,7.6,5.8,7.7
140,Morocco,4.9,3.7,7.2,2.9,6.2,2.3
141,Oman,3.9,0.3,5.4,0.4,5.4,0.4
142,Palestinian territories,3.3,6.4,4.3,6.2,4.3,5.1
143,Qatar,3.3,0.3,5.5,2.6,5.4,0.9
144,Saudi Arabia,8,7.2,7.5,3.1,7.2,2.5
145,Sudan,5.7,6.5,6.2,1.9,6.8,2
146,Syria,4.5,5.3,8.2,9.1,8.3,7.8
147,Tunisia,4.8,3.8,6.3,4.5,5.6,4.6
148,United Arab Emirates,3.9,0.1,5.8,1.1,5.8,1.2
149,Western Sahara,4.8,3.3,6.6,0,5.5,0.4
150,Yemen,4.3,6.2,6.6,6.7,6,5.1
151,Angola,3.3,3.7,4.3,1.3,4.3,0.6
152,Benin,0.3,0,0.7,2.8,0.7,2.6
153,Botswana,0.9,0.1,1.3,0,1.3,0
154,Burkina Faso,0.3,1.5,1.4,2.8,2.7,5.5
155,Burundi,0.4,0.9,3.2,2,3.8,1.6
156,Cameroon,1.1,1.4,2.9,4.2,3.2,4.8
157,Cape Verde,0.3,0.1,0.9,0,1.5,0
158,Central African Republic,3.7,3.3,3.5,7.3,2.9,6.2
159,Chad,4.2,3.3,3.8,2.1,3.7,2.1
160,Comoros,5.4,6.2,5.8,0.5,5.4,0.5
161,Democratic Republic of the Congo,1.3,2.6,3,4.5,1.4,3
162,Djibouti,2.4,1.8,3.9,1.6,3.6,0.4
163,Equatorial Guinea,2.6,0,3.3,0,3.3,0
164,Eritrea,7,0.4,7.7,0.2,6.7,0.1
165,Eswatini,1.5,0,2.2,0.3,2.6,0.4
166,Ethiopia,2.6,5.3,3.9,5.2,3.4,5.9
167,Gabon,1.7,0.1,1.1,1,1.1,1
168,Gambia,0.5,0.8,0.9,2.2,1.1,1.8
169,Ghana,1.2,4.9,1.6,2.6,1.6,1.8
170,Guinea,1.5,1.7,2.6,3.2,2.6,2.7
171,Guinea-Bissau,1.6,0,0.7,0.8,0.7,1.1
172,Ivory Coast,1.9,3.1,1.3,0.4,1.4,0.9
173,Kenya,2.9,2.4,3.2,6.4,3.1,6.4
174,Lesotho,0.4,0,0.6,0,0.6,0
175,Liberia,1.7,3.8,2.1,2.2,1.4,1.8
176,Madagascar,1.8,0,2.8,1.6,2.8,0.9
177,Malawi,0.4,0.3,2.2,0.8,2.2,1.8
178,Mali,0.9,0.3,2.2,5.9,1.7,6.9
179,Mauritania,6.5,0.9,6.6,2.1,6.1,2
180,Mauritius,1.4,0.3,1.5,0.3,1.5,0.4
181,Mozambique,1,0.3,3,2.8,3.6,2.2
182,Namibia,0.3,0,0.9,0,1.3,0
183,Niger,1.7,1.5,3.7,2.3,4.5,3.7
184,Nigeria,3.7,4.4,4.9,8.5,4.4,8.4
185,Republic of the Congo,0.7,0.4,2,0,2,0.3
186,Rwanda,2,0,3.6,1.9,3.8,1.8
187,Sao Tome and Principe,0.2,0,0.7,0,0.9,1.3
188,Senegal,0.5,0,0.7,0.8,0.7,0.8
189,Seychelles,1.3,0,2.6,0,2.6,0
190,Sierra Leone,0,0,2.6,2.5,3.1,2.8
191,Somalia,4.4,7.4,4.2,7.1,3.3,7
192,South Africa,0.6,2.2,1.4,4.1,1.6,2.9
193,South Sudan,NA,NA,3.3,2.8,2.4,1.2
194,Tanzania,2.1,3.5,5.1,3.3,5.5,2.8
195,Togo,2.8,0,2,0.8,2.6,0.8
196,Uganda,2.4,0.4,3,4.4,3,3.2
197,Zambia,2,0,3.1,2,3.1,0.8
198,Zimbabwe,2.9,1.2,3,1,3.6,1.2
